Catalog_Number,Match_Ranking,Resource_Name,Abbreviated_Citation,Perceived_Impact,Developer_Sector,Stream_type_requirements,Geographic_applicability,Adaptable_to_other_locations,Agency_or_organization,Year_of_publication_or_latest_update,Assessment_Class,Hydrology,Hydraulics,Geomorphology,Physicochemical,Biology,Biology_and_Stream_Habitat,Connectivity_Aquatic_Organism_Passage,Stream_Habitat,Riparian_Zone,Variability,Stream_Classification,Time_Required_Tasks_only,Training_Needed,Location_of_Assessment,Tier_of_analysis,Input_Data_Type,Output_Data_Type,Data_Availability,Reference_Required,Performance_Standards_or_Reference_Curves_Used,Programmatic_Applications,Region_of_development_application,State_of_development_application,USACE_Division_use,USACE_District_use,URL_for_tool_or_data_storage,URL_for_user_guide,Notes,Long_Citation,Issues,Introductory_Description
1,9,Alaska Interior Stream Quantification Tool (AKSQTint),Alaska SQT Steering Committee (2021),High,Public,-,AK,No,"Salcha-Delta Soil and WaterConservation District (SWCD), multiple others",2021,Protocol,RE,-,DC,DC,DC,DC,-,-,RE,-,-,Days,"Medium,High","Field,Office,Lab",T3,Field data,Index,Yes,No,Yes,"CWA 404, Inventory",AK Interior,AK,Pacific Ocean Division,Alaska District,-,https://stream-mechanics.com/wp-content/uploads/2021/06/AK-SQT-v1_FINAL_User-Manual_20210521.pdf,-,"Alaska Stream Quantification Tool Steering Committee (Steering Committee). 2021. Stream Quantification Tool and Debit Calculator for the Alaskan Interior User Manual and Spreadsheets. Version 1.0. Salcha-Delta Soil and Water Conservation District, Delta Junction, AK.",-,"This version of the Stream Quantification Tool and Debit Calculator for the Alaskan Interior (AKSQTint) consists of two spreadsheet-based calculators, the SQT workbook and Debit Calculator workbook. These tools have been regionalized for use in single-thread, wadeable streams in non-glacial alluvial and colluvial valleys in the Alaskan Interior (Figure 2). The SQT and Debit Calculator Excel workbooks have been developed to evaluate a suite of metrics that represent structural or compositional attributes of a stream and its underlying processes. Metrics in the AKSQTint represent parameters that are often impacted by authorized projects or affected (e.g., enhanced or restored) by restoration actions. As such, the AKSQTint is not intended as a comprehensive assessment of stream function. The AKSQTint is an application of the Stream Functions Pyramid Framework (SFPF; Harman et al. 2012) and uses functionbased parameters and metrics to assess five functional categories: hydrology, hydraulics, geomorphology, physicochemical, and biology."
2,128,Rapid Stream Assessment Technique (RSAT),"Galli, 1996",High,Public,Watersheds < 150 sq mi,MD Piedmont physiographic region,Yes,Metro. Washington Council of Govt's,1996,Protocol,-,-,S,S,S,S,-,S,-,-,-,Days,Low,"Field,Office","T1,T2",Field data,Index,No,No,Yes,Inventory,-,-,-,-,-,https://www.stormwatercenter.net/monitoring%20and%20assessment/rsat/smrc%20rsat.pdf,Similar to RBP,"Galli, J. 1996. Rapid Stream Assessment Technique (RSAT) Field Methods. Metropolitan Washington Council of Governments, Washington, D.C.",-,"The RSAT system represents a synthesis of US Environmental Protection Agency's Rapid Bioassessment Protocols (Plafkin, et.al. 1989), the Izaak Walton League and Save Our Streams stream survey techniques (Kellog, 1992), US Department of Agriculture, Water Quality Indicators Guide: Surface Waters (Terrell and Perfetti, .1989), together with COG staffs many years of local stream survey experience. Presently, the intended use and applicability of RSAT is limited to nonlimestone Piedmont streams with drainage areas less than approximately 100-150 square miles. RSAT employs both a reference st.ream and an integrated numerical scoring and verbal ranking appn;>ach. 1 Major abiotic and biotic factors which influence overall st.ream quality have been streamlined, weighed and placed into the six following general RSAT evaluation categories"
3,27,Channel Stability Index (CSI),Pfankuch (1975),High,Public,-,Nationwide,-,USFS,1975,Protocol,-,S,S,-,-,-,-,-,-,-,-,Days,Low,"Field,Office","T1,T2",Field data,Index,No,No,Yes,Monitoring,-,-,-,-,-,https://wildlandhydrology.com/resources/docs/Assessment/Pfankuch_1975.pdf,-,"Rosgen, David L. ""A stream channel stability assessment methodology."" Proceedings of the seventh federal interagency sedimentation conference. Vol. 2. 2001.",-,These procedures were developed to systemize measurements and evaluations of the resistive capacity of mountain stream channels to the detachment of bed and bank materials and to provide information about the capacity of streams to adjust and recover from potential changes in flow and/or increases in sediment production.
4,31,Colorado Stream Quantification Tool (CSQT),CQST Steering Committee (2020),High,Public,-,CO,No,"CQST Steering Committee, multiple others",2020,Protocol,RE,-,DC,DC,DC,DC,-,-,RE,-,-,Days,"Medium,High","Field,Office",T3,Field data,Index,Yes,No,Yes,"CWA 404, Inventory",-,CO,"NW Division, South Pacific Division","Omaha District, Sacramento District, Albuquerque District",-,https://stream-mechanics.com/wp-content/uploads/2020/10/CSQT-v1_User-Manual_wAppendices.pdf,-,"U.S. Army Corps of Engineers. 2020. Colorado Stream Quantification Tool (CSQT) User Manual and Spreadsheets. Version 1.0. U.S. Army Corps of Engineers, Albuquerque District, Pueblo Regulatory Office.",-,"The Colorado Stream Quantification Tool (CSQT) consists of two spreadsheet-based calculators designed to inform permitting and compensatory mitigation decisions within the CWA 404. The CSQT and Debit Calculator Excel Workbooks have been developed to evaluate a suite of metrics that represent structural or compositional attributes of a stream and its underlying processes. Metrics in the CSQT represent parameters that are often impacted by authorized projects or affected (e.g. enhanced or restored) by mitigation actions undertaken by restoration providers. As such, the CSQT is not a comprehensive assessment of stream function. The CSQT is an application of the Stream Functions Pyramid Framework (SFPF; Harman et al. 2012) and uses function-based parameters and metrics to assess four functional categories: reach hydrology and hydraulics, geomorphology, physicochemical, and biology."
5,36,EKSAP: Eastern Kentucky Stream Assessment Protocol,KY IRT (2002),Medium,Public,Headwater streams (1st/2nd order),Eastern KY,Yes,"KY Interagency Review Team, USACE, EPA, etc",2002,Protocol,-,S,S,DC,DC,DC,-,S,-,-,-,Days,"Low,High","Field,Office","T1,T2,T3",Field data,"Index,Data",No,Yes,No,CWA 404,Eastern KY coal region,KY,Great Lakes and Ohio River Division,"Louisville District, Nashville District",-,https://www.lrl.usace.army.mil/Portals/64/docs/regulatory/Mitigation/ExecSummary.pdf ,"Uses EPA RBP, Benthic Macroinvertebrate Bioassessment, and Specific Conductance","Kentucky Interagency Review Team (KY IRT), 2002. Stream Assessment Protocol for Headwater Streams in the Eastern Kentucky Coalfield Region (EKSAP), 4 pp.",-,"An interagency team including members from the U.S. Army Corps of Engineers (COE), the U.S. Environmental Protection Agency (EPA), the U.S. Fish and Wildlife Service (USFWS), the Kentucky Division of Water (KDOW), and the Kentucky Department of Fish and Wildlife Resources (KDFWR) was assembled to address the needs for a headwater stream assessment procedure that would accommodate the 404 programmatic requirements in the eastern Kentucky Coalfield Region. The team considered a variety of methods that have been developed to assess stream quality. However, none have received wide spread use or acceptance in 404 because of a failure to satisfy one or more technical or programmatic requirements. One of the most constraining considerations for an assessment procedure to be useful within the 404 program is an ability to assess stream functions accurately and efficiently within the limited time and resources available. EPA’s Rapid Bioassessment Protocol (RBP) (Barbour et al., 1999) was the assessment procedure singled out by the interagency team as having the greatest utility for the program’s needs. This protocol has undergone extensive peer review and is based on sound ecological principles. The procedure also aims to be rapid and, thus, accommodates the time and resource limitations of the 404 program. This document outlines an approach for using the RBP in a manner that assesses overall stream ecosystem integrity and also satisfies the technical and programmatic requirements of the 404 program. "
6,71,Kentucky Stream Assessment Method ,KDOW (2011),Medium,Public,-,KY,Yes,KY Division of Water,2022,Protocol,-,S,S,-,S,S,-,S,S,-,-,Days,"Low,Medium","Field,Office","T1,T2",Field data,"Index,Data",Yes,Yes,Yes,CWA 401,-,KY,-,-,-,https://eec.ky.gov/Environmental-Protection/Water/QA/BioLabSOPs/Methods%20for%20Assessing%20Habitat%20in%20Wadeable%20Waters.pdf,-,"Kentucky Division of Water (KDOW). 2011. Methods for Assessing Habitat in Wadeable Waters. Kentucky Department for Environmental Protection, Division of Water, Frankfort, Kentucky.",-,This manual has been developed by the Kentucky Division of Water (DOW) as guidance for the uniform and accurate evaluation of habitat parameters present in the wadeable waters of Kentucky.  The methods defined herein are required for all habitat assessment procedures and quality assurance (QA)/quality control (QC) activities resulting in information that could be used for water quality assessments.
7,52,Georgia Stream Quantification Tool (GSQT),USACE (2018),High,Public,-,GA,No,"USACE, Savannah District",2018,Protocol,-,-,RE,-,DC,DC,-,-,RE,-,-,Days,"Low,Medium","Field,Office",T2,Field data,Index,Yes,No,Yes,CWA 404,-,GA,South Atlantic Division,Savannah,-,https://www.sas.usace.army.mil/Portals/61/docs/Regulatory/Mitigation%20Documents/SOP.pdf?ver=2018-07-03-144058-600,"The GA SQT uses three functional categories from the SFPF: Hydraulics, Geomorphology and Biology. Except for the benthic macroinvertebrate parameter of the Biology functional category, all GA SQT functional categories, parameters and assessment metrics used to assess existing (baseline) conditions must also be used to assess post-construction conditions throughout the monitoring period.","Somerville, D.E., A.F. White, J.A. Hammonds. 2021. User Manual & Scientific Support for the Georgia Interim Stream Quantification Tool. Savannah, GA: U.S. Army Engineer Corps of Engineers, Savannah District.",-,"The GA SQT uses three functional categories from the SFPF: Hydraulics, Geomorphology and Biology. Except for the benthic macroinvertebrate parameter of the Biology functional category, all GA SQT functional categories, parameters and assessment metrics used to assess existing (baseline) conditions must also be used to assess post-construction conditions throughout the monitoring period."
8,55,Headwater Macroinvertebrate Field Evaluation Index (HMFEI),Ohio EPA (2009),High,Public,Watersheds < 1 sq mi,Ohio,No,Ohio EPA,2009,Protocol,-,-,-,-,DC,DC,-,-,-,-,-,Days,"Medium,High","Field,Office","T2, T3",Field data,"Score, Data",No,No,Yes,CWA 404/401,-,OH,-,-,-,https://epa.ohio.gov/static/Portals/35/credibledata/PHWHManual_2020_Ver_4_1_May_2020_Final.pdf,Used to determine PHW class in Ohio.  Abundance of macroinvertebrate taxa are used to get overall HMFEI score.  Score indicates Primary Headwater class (value/importance).  Part of the PHW in Ohio.,"Ohio EPA. 2020. Field Methods for Evaluating Primary Headwater Streams in Ohio. Version 4.1. Ohio EPA Division of Surface Water, Columbus, Ohio. 130 pp.",-,"The methodology developed for PHW streams is referred to as the Headwater Macroinvertebrate Field Evaluation Index (HMFEI). The HMFEI is a rapid bio-assessment field sampling method designed by former Ohio EPA biologist Mike Bolton. This index has been documented to be a good predictor of the various classes of PHW streams in Ohio. The HMFEI is designed for use in the field but does require the taxonomic expertise to distinguish taxa to the Family level in many cases. Although the HMFEI can be a useful rapid assessment tool, it is inferior to a more detailed identification of benthic macroinvertebrates as obtained through analysis of a voucher sample identified to the lowest practical taxonomic level back at the laboratory ("
9,56,Headwater Macroinvertebrate Field Index (HWMI),Ohio EPA (2023),High,Public,Headwaters,Ohio,No,Ohio EPA,2023,Protocol,-,-,-,-,DC,DC,-,-,-,-,-,Days,Medium,"Field,Office","T2, T3",Field data,Index,No,No,Yes,CWA 404/401,-,OH,-,-,-,https://epa.ohio.gov/static/Portals/35/Headwater_Sum_Macro_Index_2023.pdf,-,-,-,"Because artificial substrates are rarely employed at drainage areas less than 20 mi2, most macroinvertebrate condition assessments are narrative ratings based on qualitative (i.e., presence/absence) samples.  Also, because the existing multimetric index is based on a population of reference sites with drainage areas mostly greater than 3 mi2, expectations for assemblage metrics are ambiguous for very small headwaters.  Although the narrative ratings are reliable indicators of condition, categorical ratings lack the advantages inherent in a continuously scaled index.  Continuous indexes are more amenable to linear statistics (e.g., correlations against stressors), and provide a finer degree of context for where condition is positioned along a stressor gradient."
10,109,Ohio Headwater Habitat Evaluation Index (Ohio HHEI) ,Ohio EPA (2009),High,Public,Watersheds < 1 sq mi,Ohio,No,Ohio EPA,2009,Protocol,-,-,RE,-,-,RE,-,RE,-,-,-,"Hours,Days",Low,"Field,Office",T1,Field data,"Score, Data",No,No,Yes,CWA 404/401,-,"OH, IN",Great Lakes and Ohio River Division,Louisville District,-,https://epa.ohio.gov/static/Portals/35/credibledata/PHWHManual_2020_Ver_4_1_May_2020_Final.pdf,"Used to determine PHW class in Ohio.  Uses Substrate, Max pool depth, and Bankfull Width.  Using methodologies similar to those employed to develop the Qualitative Habitat Evaluation Index (QHEI) (Rankin, 1989; Rankin, 1995), a Headwater Habitat Evaluation Index (HHEI), was constructed. The HHEI can be used to score physical habitat features that have been found to be statistically important determinants of biological community structure in PHW streams with drainage area less than 1 mi2 (259 ha).","Ohio EPA. 2020. Field Methods for Evaluating Primary Headwater Streams in Ohio. Version 4.1. Ohio EPA Division of Surface Water, Columbus, Ohio. 130 pp.",-,"The lowest level of field effort is a relatively rapid habitat evaluation procedure known as the “Headwater Habitat Evaluation Index” (HHEI). It is based on three physical measurements that have been found to correlate well with biological measures of stream quality. Two levels of biological assessment, one at an order-family level of taxonomic identification, the second to genus-species, provide flexibility in reaching a final decision on the appropriate aquatic life use designation needed to protect the native fauna of any primary headwater stream."
